nome;cnpj;cep;endereco;telefone;tipoLocalizacao;_cnaePrincipal;_cnaeMatch;_uf;_municipio;_situacao;_razaoSocial
CONRADO BARTHOLOMEI DE MACEDO PONTES;26.712.655/0001-86;13995-000;SITIO SANTA CAROLINA, nº SN, BEBEDOURO - SANTO ANTONIO DO JARDIM/SP;(19) 91678220;HARAS;0152102;0152102;SP;SANTO ANTONIO DO JARDIM;02;CONRADO BARTHOLOMEI DE MACEDO PONTES
YASMIN MARIA SCHILLING;27.354.086/0001-07;19614-899;RODOVIA RHR352 - VICINAL WALDEMAR CASAGRANDE-FAZENDA PRIMAVERA, nº SN, KM 6, SALTINHO - RANCHARIA/SP;(18) 97372424;HARAS;0152102;0152102;SP;RANCHARIA;02;YASMIN MARIA SCHILLING
ANIBAL SIMOES MENDES DOS SANTOS JUNIOR E OUTRO;27.359.980/0001-70;18720-000;FAZENDA AS RANCH, nº SN, RURAL - PARANAPANEMA/SP;(14) 37336330;HARAS;0152102;0152102;SP;PARANAPANEMA;02;ANIBAL SIMOES MENDES DOS SANTOS JUNIOR E OUTRO
PAULO GABRIEL ALVISI DE ANDRADE;27.361.175/0001-80;13790-000;SITIO PEDRA NOVENTA, nº SN, MOREIRA - SAO SEBASTIAO DA GRAMA/SP;(35) 91253933;HARAS;0152102;0152102;SP;SAO SEBASTIAO DA GRAMA;02;PAULO GABRIEL ALVISI DE ANDRADE
WALDECIR CASAGRANDE;27.621.373/0001-36;19600-000;SITIO SANTA BARBARA, nº S/N, ANEXO ZONA RURAL, SALTINHO - RANCHARIA/SP;(18) 32654079;HARAS;0152102;0152102;SP;RANCHARIA;02;WALDECIR CASAGRANDE
SIDINEY PERUCHI DE GODOY;27.799.454/0001-20;12299-899;AREA RURAL ESTRADA DA SERRINHA, nº 647, HARAS SANTO ANTONIO, AREA RURAL DE CACAPAVA - CACAPAVA/SP;(12) 39348289;HARAS;0152102;0152102;SP;CACAPAVA;02;SIDINEY PERUCHI DE GODOY
FABIO VIEIRA DA SILVA;27.958.218/0001-00;13670-000;CHACARA SAO CARLOS, nº S/N, ROD.ANGELO ROBERTO SP 328 KM 1.5, ZONA RURAL - SANTA RITA DO PASSA QUATRO/SP;(19) 35826323;HARAS;0152102;0152102;SP;SANTA RITA DO PASSA QUATRO;02;FABIO VIEIRA DA SILVA
VILMA DEL GUERRA RODRIGUES;28.117.210/0001-83;13990-000;RETIRO SAO VICENTE GLEBA A-1, nº S/N, AREIA BRANCA - ESPIRITO SANTO DO PINHAL/SP;(19) 36512522;HARAS;0152102;0152102;SP;ESPIRITO SANTO DO PINHAL;02;VILMA DEL GUERRA RODRIGUES
JOSE CARLOS DE MORAES JUNIOR;28.118.548/0001-50;12630-000;RODOVIA CRISTIANO ALVES DA ROSA / SP-183, nº 100, KM 12, EMBAU - CACHOEIRA PAULISTA/SP;(12) 31445575;HARAS;0152102;0152102;SP;CACHOEIRA PAULISTA;02;JOSE CARLOS DE MORAES JUNIOR
RAMON EVAIR DE CAMARGO;28.301.553/0001-01;13909-899;AREA RURAL, nº KM 53, KM 53 ROD JOAO BEIRA, AREA RURAL DE AMPARO - AMPARO/SP;(19) 38933283;HARAS;0152102;0152102;SP;AMPARO;02;RAMON EVAIR DE CAMARGO
OSMACILDA ALVES DE SOUZA;28.331.284/0001-18;18216-000;SITIO RANCHO MACHADO, nº S/N, HARAS MEGA TEEN, CONCEICAO - ITAPETININGA/SP;(11) 26943022;HARAS;0152102;0152102;SP;ITAPETININGA;02;OSMACILDA ALVES DE SOUZA
MARCIA MONTANHEIRO E ESPOSO;28.457.338/0001-96;13960-000;CHACARA MORADA, nº S/N, CASA, NOGUEIRAS - SOCORRO/SP;(19) 38953446;HARAS;0152102;0152102;SP;SOCORRO;02;MARCIA MONTANHEIRO E ESPOSO
GERALDO RIBEIRO DE MENDONCA JUNIOR E OUTROS;12.965.551/0002-50;14660-000;RODOVIA ALTINO ARANTES, nº S/N, ZONA RURAL - SALES OLIVEIRA/SP;(16) 38268888;HARAS;0152102;0152102;SP;SALES OLIVEIRA;02;GERALDO RIBEIRO DE MENDONCA JUNIOR E OUTROS
MARIO HENRIQUE DA SILVA;28.837.195/0001-48;13870-970;SITIO GRAMA, nº 00, TERREO, ZONA RURAL - SAO JOAO DA BOA VISTA/SP;(19) 98664272;HARAS;0152102;0152102;SP;SAO JOAO DA BOA VISTA;02;MARIO HENRIQUE DA SILVA
JOCKEY;29.444.886/0001-44;96640-000;RODOVIA BR 471 KM 24, nº S/N, BOA VISTA - RIO PARDO/RS;(51) 37311768;HARAS;0152102;0152102;RS;RIO PARDO;02;JOCKEY-CLUB DE RIO PARDO
PEDRO ANTONIO GONCALVES PEREZ;29.500.134/0001-53;07500-000;ESTRADA BAIRRO DO JAGUARI, nº S/N, ZONA RURAL - SANTA ISABEL/SP;(11) 78315002;HARAS;0152102;0152102;SP;SANTA ISABEL;02;PEDRO ANTONIO GONCALVES PEREZ
VAGNER SIMIONATO;12.711.936/0002-90;17810-000;SITIO WV, nº SN, ELIZEU - MARIAPOLIS/SP;(18) 35861204;HARAS;0152102;0152102;SP;MARIAPOLIS;02;VAGNER SIMIONATO
ANTONIO JOSE DOS REIS NETO;29.680.874/0001-19;13870-970;SITIO CONCEICAO, nº 00, TERREO, ZONA RURAL - SAO JOAO DA BOA VISTA/SP;(19) 97682166;HARAS;0152102;0152102;SP;SAO JOAO DA BOA VISTA;02;ANTONIO JOSE DOS REIS NETO
DIEGO PINTO FORNARI;30.080.787/0001-00;12995-000;ESTRADA RURAL B ROSA MENDES 3 5714188, nº SN, 35714288, ROSA MENDES - PINHALZINHO/SP;(11) 40184560;HARAS;0152102;0152102;SP;PINHALZINHO;02;DIEGO PINTO FORNARI
GILBERTO JOSE PEREIRA LOPES;30.106.568/0001-52;17810-000;SITIO DOIS IRMAOS, nº S/N, FORTUNA - MARIAPOLIS/SP;(18) 35212571;HARAS;0152102;0152102;SP;MARIAPOLIS;02;GILBERTO JOSE PEREIRA LOPES
BRUNO FRITZSONS BONIN;30.153.900/0001-30;18290-000;RODOVIA LAURI SIMOES DE BARROS, KM 21,5, nº SN, FAZENDA SAVITU II, CAPAO ALTO - BURI/SP;(15) 32759100;HARAS;0152102;0152102;SP;BURI;02;BRUNO FRITZSONS BONIN
FELIPE ANTONIO PALIN BRAGA;30.392.629/0001-95;16750-000;ESTRADA VICINAL ANGELO ZANCANER, KM 06, nº S/N, SITIO SANTO ANTONIO, SETE CASAS - RUBIACEA/SP;(18) 36062586;HARAS;0152102;0152102;SP;RUBIACEA;02;FELIPE ANTONIO PALIN BRAGA
HARS EL SHDDAY;30.545.931/0001-36;13240-000;ESTRADA LIBERATO SPINASSI, nº S/N, CAMPOS ALEIXO - JARINU/SP;(11) 39843113;HARAS;0152102;0152102;SP;JARINU;02;HARAS EL SHADDAY LTDA
RAFAEL APARECIDO TERCONI;30.802.376/0001-80;16850-000;FAZENDA SANTA HELENA, nº 0, GLEBA C, RURAL - LAVINIA/SP;(18) 34011358;HARAS;0152102;0152102;SP;LAVINIA;02;RAFAEL APARECIDO TERCONI
MAURO FELICIANO DOS SANTOS;30.942.184/0001-70;14580-000;ESTANCIA PARAISO, nº SN, ESTANCIA PARAISO, RURAL - GUARA/SP;(16) 37285257;HARAS;0152102;0152102;SP;GUARA;02;MAURO FELICIANO DOS SANTOS
RUBIANE PAMELA GALIARDO;30.990.974/0001-20;13660-000;RODOVIA ANHANGUERA KM 229,5 PISTA SUL, nº SN, SITIO SAO VICENTE, ZONA RURAL - PORTO FERREIRA/SP;(19) 94137415;HARAS;0152102;0152102;SP;PORTO FERREIRA;02;RUBIANE PAMELA GALIARDO
ROBERTO SIMAO PEREIRA;31.595.984/0001-24;12289-005;AVENIDA JOSE FRANCISCO DE ALVARENGA, nº 3751, RANCHO SANTA RITA, VILA MENINO JESUS - CACAPAVA/SP;(12) 91747479;HARAS;0152102;0152102;SP;CACAPAVA;02;ROBERTO SIMAO PEREIRA
RICARDO DAVID NICOLAU;31.658.581/0001-87;06727-000;ESTRADA DOS PEREIRAS, nº 800, JARDIM SAN RESSORE (CAUCAIA DO ALTO) - COTIA/SP;(11) 43039067;HARAS;0152102;0152102;SP;COTIA;02;RICARDO DAVID NICOLAU
BENJAMIN CESAR LOREDO;31.898.865/0001-40;13295-000;ESTRADA MUNICIPAL PAINEIRAS, nº 2715, PAINEIRAS - ITUPEVA/SP;(11) 45860400;HARAS;0152102;0152102;SP;ITUPEVA;02;BENJAMIN CESAR LOREDO
JOCKEY CLUB CARAZINHENSE;87.629.671/0015-08;91360-001;AVENIDA DO FORTE, nº 1396, LOJA 03, VILA IPIRANGA - PORTO ALEGRE/RS;(51) 33349656;HARAS;0152102;0152102;RS;PORTO ALEGRE;02;JOCKEY CLUB CARAZINHENSE
BARBARA LEDO VIDAL DOS SANTOS E OUTRA;32.185.000/0001-08;18260-000;SITIO RANCHO SANTA APOLONIA, nº S/N, ESTRADA DOS CEDROS 16 B - LOJAS CEM, BOA VISTA - PORANGABA/SP;(11) 99348158;HARAS;0152102;0152102;SP;PORANGABA;02;BARBARA LEDO VIDAL DOS SANTOS E OUTRA
CARLOS DIOGO DE OLIVEIRA;32.823.730/0001-89;18800-000;CHACARA SAO JOAO, nº S/N, AREA ARRENDADA, ZONA RURAL - PIRAJU/SP;(14) 96282695;HARAS;0152102;0152102;SP;PIRAJU;02;CARLOS DIOGO DE OLIVEIRA
LUIZ FERNANDO RAFAEL NASO;33.719.347/0001-48;12995-000;RODOVIA ADOLPHO TORRICELLI, nº SN, SITIO VALE NASO, DO PINHAL - PINHALZINHO/SP;(11) 40184678;HARAS;0152102;0152102;SP;PINHALZINHO;02;LUIZ FERNANDO RAFAEL NASO
JURANDIR DE FARIA;08.391.651/0002-42;13960-000;CHACARA JONAS, nº S/N, CASA, SANTA CRUZ/PEREIRAS - SOCORRO/SP;(19) 38951993;HARAS;0152102;0152102;SP;SOCORRO;02;JURANDIR DE FARIA
CESAR CLAYTON VENANCIO DE MELO;34.206.757/0001-58;18540-000;SITIO RANCHO DOS IRMAOS, nº S/N, EST MUN PORTO FELIZ/SOROCABA 831 CA 1, AVECUIA DO ALTO - PORTO FELIZ/SP;(11) 89524865;HARAS;0152102;0152102;SP;PORTO FELIZ;02;CESAR CLAYTON VENANCIO DE MELO
IGOR NOGUEIRA GUIMARAES;34.561.786/0001-38;12914-970;RUA PANORAMA, nº S/N, SETE PONTES - BRAGANCA PAULISTA/SP;(11) 40326052;HARAS;0152102;0152102;SP;BRAGANCA PAULISTA;02;IGOR NOGUEIRA GUIMARAES
RODRIGO GONCALO CORREA;34.678.315/0001-04;17109-899;SITIO RANCHO CENTAURO BAGE, nº S/N, ZONA RURAL - BAURU/SP;(11) 89299504;HARAS;0152102;0152102;SP;BAURU;02;RODRIGO GONCALO CORREA
ANDERSON JOSE BARBOSA;18.128.436/0003-98;19570-000;ESTANCIA RANCHO BARBOSA, nº SN, CORDEIRO - REGENTE FEIJO/SP;(18) 32792954;HARAS;0152102;0152102;SP;REGENTE FEIJO;02;ANDERSON JOSE BARBOSA
THIAGO LUIS PANICACCI;35.068.869/0001-52;13870-970;ESTRADA VICINAL SAO JOAO BOA VISTA / ANDRADAS, nº SN, ZONA RURAL - SAO JOAO DA BOA VISTA/SP;(19) 36334613;HARAS;0152102;0152102;SP;SAO JOAO DA BOA VISTA;02;THIAGO LUIS PANICACCI
JOSE PANDOLFO;35.200.273/0001-64;18530-000;SITIO 4R, nº SN, BOM RETIRO - TIETE/SP;(15) 32865110;HARAS;0152102;0152102;SP;TIETE;02;JOSE PANDOLFO
CENTRO DE EQUITACAO E EQUOTERAPIA VILA SABARA;35.572.426/0001-02;13400-973;ESTRADA SERTAOZINHO, nº 300, JARDIM ABAETE - PIRACICABA/SP;(19) 71342888;CENTRO_TREINAMENTO;8591100;8591100;SP;PIRACICABA;02;GLEYSSON ROBERTO DA SILVA CENTRO DE EQUITACAO E EQUOTERAPIA LTDA
CENTRALGEN;35.654.396/0001-75;49511-110;RUA JOSE PEREIRA ROSA, nº 541, QUEIMADAS - ITABAIANA/SE;(79) 99715603;HARAS;0152102;0152102;SE;ITABAIANA;02;GEN - GENETICA EQUINA NORDESTE LTDA
IRANI PEDRO DA SILVA ALMEIDA;35.936.604/0001-29;18590-000;RUA CRT 297 A, nº 36, CH VALE VERDE 4, PORANGABA - BOFETE/SP;(11) 63813510;HARAS;0152102;0152102;SP;BOFETE;02;IRANI PEDRO DA SILVA ALMEIDA
RAFAEL MAURICIO DE GOUVEIA;36.183.290/0001-01;12942-210;RUA BRASIL, nº SN, ATIBAIA JARDIM - ATIBAIA/SP;(11) 40117169;HARAS;0152102;0152102;SP;ATIBAIA;02;RAFAEL MAURICIO DE GOUVEIA
JOAO CARLOS EUFIGENIO DOS SANTOS;36.385.007/0001-16;17900-000;FAZENDA VILA RICA, nº S/N, ZONA RURAL - DRACENA/SP;(18) 38214737;HARAS;0152102;0152102;SP;DRACENA;02;JOAO CARLOS EUFIGENIO DOS SANTOS
CLAUDIOMIRO RODRIGUES DOS SANTOS;36.583.860/0001-42;12140-000;SITIO RANCHO RM, nº S/N, SANTA CRUZ DO RIO ABAIXO - SAO LUIZ DO PARAITINGA/SP;(12) 97823526;HARAS;0152102;0152102;SP;SAO LUIZ DO PARAITINGA;02;CLAUDIOMIRO RODRIGUES DOS SANTOS
JEAN CARLOS APARECIDO AMORIN;17.219.423/0002-80;14470-000;RODOVIA ANTONIO GIOLO VIA MASCARENHAS, nº S/N, SITIO DON INACIO, ZONA RURAL - PEDREGULHO/SP;(16) 91354161;HARAS;0152102;0152102;SP;PEDREGULHO;02;JEAN CARLOS APARECIDO AMORIN
NILTON LOCOSSELLI JUNIOR;28.820.911/0002-65;08889-899;ESTRADA LAMBARI, QUINTAL SANTA CLARA, nº S/N, AREA RURAL DE MOGI DAS CRUZES - MOGI DAS CRUZES/SP;(16) 33714364;HARAS;0152102;0152102;SP;MOGI DAS CRUZES;02;NILTON LOCOSSELLI JUNIOR
2 D REPRODUCAO EQUINA;38.029.577/0001-07;75420-000;RODOVIA RODOVIA GO 416 2 KM A ESQUERDA 200 MTS, nº SN, ZONA RUARAL - DAMOLANDIA/GO;(62) 93659745;HARAS;0152102;0152102;GO;DAMOLANDIA;02;2 D REPRODUCAO EQUINA LTDA
GRUPO SM;38.062.099/0001-29;06950-000;ENTRADA MEIA LEGUA, nº 5100, JUQUIA - JUQUITIBA/SP;(11) 74455624;HARAS;0152102;0152102;SP;JUQUITIBA;02;SM CRIACAO E COMERCIALIZACAO DE ANIMAIS LATICINIOS E AGRICULTURA LTDA
ULYSSES MARCELO FORNETTI;08.550.262/0003-01;18675-000;ESTRADA AGUDOS A BOREBI, nº SN, FAZENDA BOA VISTA, ZONA RURAL - BOREBI/SP;(14) 97724131;HARAS;0152102;0152102;SP;BOREBI;02;ULYSSES MARCELO FORNETTI
JOAO PAULO MARTINS DA SILVA;38.138.768/0001-07;16129-899;ESTRADA MUN ARACATUA A BAIRRO TRAITU, nº SN, CHACARA DUAS MENINAS, ZONA RURAL - ARACATUBA/SP;(18) 31176555;HARAS;0152102;0152102;SP;ARACATUBA;02;JOAO PAULO MARTINS DA SILVA
LETICIA NOGUEIRA DIAS;38.447.203/0001-01;18640-000;AVENIDA TRES, nº 355, NINHO VERDE II - PARDINHO/SP;(14) 81084455;HARAS;0152102;0152102;SP;PARDINHO;02;LETICIA NOGUEIRA DIAS
PAULO HENRIQUE BARBOSA MARCHI;38.581.838/0001-99;13670-000;CHACARA CHACARA DO TROPEIRO, nº 64, CHACARA, JARDIM EUROPA - SANTA RITA DO PASSA QUATRO/SP;(19) 97846232;HARAS;0152102;0152102;SP;SANTA RITA DO PASSA QUATRO;02;PAULO HENRIQUE BARBOSA MARCHI
ALAN LINCOLN ALCANTARA SOUZA;38.583.044/0001-64;11790-000;RODOVIA PADRE MANOEL DA NOBREGA KM 159, nº 159, TREVO II - PEDRO DE TOLEDO/SP;(13) 97902076;HARAS;0152102;0152102;SP;PEDRO DE TOLEDO;02;ALAN LINCOLN ALCANTARA SOUZA
KLEEVER MORGAN KINCEY;38.712.508/0001-95;18603-970;ESTRADA DA CESP, nº S/N, KM 04, ESTANCIA DEMETRIA - BOTUCATU/SP;(14) 33541753;HARAS;0152102;0152102;SP;BOTUCATU;02;KLEEVER MORGAN KINCEY
JOSE CARLOS CASTELLANI;39.548.536/0001-81;13920-000;SITIO MARIA JOSE, nº S/N, ALTOS DA STANCLARA - PEDREIRA/SP;(19) 96060539;HARAS;0152102;0152102;SP;PEDREIRA;02;JOSE CARLOS CASTELLANI
MANOEL FERNANDES DOS SANTOS E OUTRO;39.644.264/0001-13;13433-899;SITIO RANCHO NATIVA, nº SN, PAU D ALHINHO - PIRACICABA/SP;(19) 91109788;HARAS;0152102;0152102;SP;PIRACICABA;02;MANOEL FERNANDES DOS SANTOS E OUTRO
VIVIAN DA CUNHA;39.645.166/0001-09;17380-000;RECANTO HARAS SANTA LUZIA, nº SN, LOTE 02 E 03, BELA VISTA - BROTAS/SP;(14) 91035806;HARAS;0152102;0152102;SP;BROTAS;02;VIVIAN DA CUNHA
CLUBE DO CAVALO DE TAMOIOS;40.182.832/0001-90;28929-666;AVENIDA INDEPENDENCIA, nº SN, KM 128, FLORESTINHA II (TAMOIOS) - CABO FRIO/RJ;(22) 74007301;HOTEL_ANIMAL;0162803;0162803;RJ;CABO FRIO;02;ASSOCIACAO DO CAVALO DE TAMOIOS
PAULO SERGIO CASSIANO DE PAULA - EQUOTERAPIA;41.160.157/0001-61;87600-000;RUA JOSE CASSIANO, nº 137, SALA 1, CONJ. RES. JOAO URBANO - NOVA ESPERANCA/PR;(44) 97131541;CENTRO_TREINAMENTO;8591100;8591100;PR;NOVA ESPERANCA;02;PAULO SERGIO CASSIANO DE PAULA - EQUOTERAPIA
NOSSO RANCHO;41.171.537/0001-00;35701-210;RUA DAS MELANCIAS, nº SN, ANEXO CURRAL, VARZEA - SETE LAGOAS/MG;(31) 37722866;HARAS;0152102;0152102;MG;SETE LAGOAS;02;NOSSO RANCHO EVENTOS LTDA.
SPORT HORSES;41.519.457/0001-94;32813-600;FAZENDA CACHOEIRA, nº S/N, CAIO MARTINS - ESMERALDAS/MG;(81) 99983434;HARAS;0152102;0152102;MG;ESMERALDAS;02;JL SPORT HORSES LTDA
SINCLAIR FITTIPALDI ROCHA;41.556.468/0001-44;18739-899;AREA RURAL, nº 08, LOTE GLEBA A1 AREA 08, AREA RURAL DE ITAI - ITAI/SP;(11) 85165253;HARAS;0152102;0152102;SP;ITAI;02;SINCLAIR FITTIPALDI ROCHA
CRISTIANA DOS SANTOS BARBOSA CABRAL;33.970.888/0001-44;12140-000;RODOVIA NELSON FERREIRA PINTO - RANCHO DO CABRAL, nº S/N, KM 01 SENTIDO LAGOINHA, TURVO - SAO LUIZ DO PARAITINGA/SP;(12) 97173374;HARAS;0152102;0152102;SP;SAO LUIZ DO PARAITINGA;02;CRISTIANA DOS SANTOS BARBOSA CABRAL
HARAS 98;34.468.123/0001-73;64067-994;RODOVIA PI - 112, nº S/N, KM 10, ZONA RURAL - TERESINA/PI;(86) 32334477;HARAS;0152102;0152102;PI;TERESINA;02;HARAS 98 CRIACAO E COMERCIALIZACAO DE EQUINOS LTDA
FERNANDA DE PAULA OLIVEIRA;35.296.553/0001-18;17730-000;SITIO BANGALO II, nº S/N, DO PRATA - PARAPUA/SP;(18) 97810610;HARAS;0152102;0152102;SP;PARAPUA;02;FERNANDA DE PAULA OLIVEIRA
MARCELO BERTOLDO MOTTA;35.594.861/0001-20;13870-970;SITIO CAMPO BELO DA GLORIA, nº S/N, ZONA RURAL - SAO JOAO DA BOA VISTA/SP;(19) 91569565;HARAS;0152102;0152102;SP;SAO JOAO DA BOA VISTA;02;MARCELO BERTOLDO MOTTA
JOSE FERNANDES DE OLIVEIRA;26.031.841/0001-50;15320-000;ESTRADA MUNICIPAL P/ CORREGO GUABIROBA, nº KM 02, ESTANCIA CANAA, FAZENDA GUABIROBA - FLOREAL/SP;(17) 38471292;HARAS;0152102;0152102;SP;FLOREAL;02;JOSE FERNANDES DE OLIVEIRA
ADCARLOS RANCH;42.724.327/0001-56;24801-270;RUA ESMERALDA, nº SN, CHACARA VILA RICA, VILA RICA - ITABORAI/RJ;(21) 64890464;HARAS;0152102;0152102;RJ;ITABORAI;02;ADCARLOS RANCH LTDA
SANDRA ANDREIA SOBRAL;42.829.678/0001-21;12990-000;ESTRADA REVOLUCIONARIO SEBASTIAO DIAS MARTINS-C.T.E-SANTA BARBARA, nº S/N, LIMAS - PEDRA BELA/SP;(11) 96142433;HARAS;0152102;0152102;SP;PEDRA BELA;02;SANDRA ANDREIA SOBRAL
CAMILA MACHADO GOUVEA E OUTRO;42.861.499/0001-71;18130-970;ESTRADA DO CANDOR, nº 412, GUACU - SAO ROQUE/SP;(15) 96840701;HARAS;0152102;0152102;SP;SAO ROQUE;02;CAMILA MACHADO GOUVEA E OUTRO
FABIO DA SILVA;42.944.340/0001-10;17285-000;ESTRADA CRT213A RDU GUAIANAS CH SAO JOAO I, nº 475, GUAINAS - PEDERNEIRAS/SP;(14) 99880255;HARAS;0152102;0152102;SP;PEDERNEIRAS;02;FABIO DA SILVA
FAZENDA POCO DAS PEDRAS;43.120.353/0001-38;55695-000;RODOVIA BR 232 KM 92, nº SN, FAZ POCO DAS PEDRAS, POVOADO INSURREICAO - SAIRE/PE;(81) 96356560;HARAS;0152102;0152102;PE;SAIRE;02;FPP AGRO NEGOCIOS LTDA
CENTRO HIPICO BOA VISTA LTDA;43.152.398/0001-94;13879-899;RODOVIA SP-344 (SAO JOAO DA BOA VISTA-AGUAI), nº S/N, KM 5, ZONA RURAL - SAO JOAO DA BOA VISTA/SP;(19) 96176596;HARAS;0152102;0152102;SP;SAO JOAO DA BOA VISTA;02;CENTRO HIPICO BOA VISTA LTDA
CRISTINO DE MIRANDA JUNIOR;43.188.892/0001-09;18570-000;ESTRADA MUNICIPAL CONCHAS A PEREIRAS, nº SN, BAIRRO DOS SILVAS - CONCHAS/SP;(14) 96112979;HARAS;0152102;0152102;SP;CONCHAS;02;CRISTINO DE MIRANDA JUNIOR
THANEY RODRIGUES DA SILVA;43.683.240/0001-40;13300-970;ESTRADA MUNICIPAL PARA BAIRRO DA GLORIA, nº S/N, NOVA GLORIA - ITU/SP;(11) 58387777;HARAS;0152102;0152102;SP;ITU;02;THANEY RODRIGUES DA SILVA
EDUARDO TAVARES RIBEIRO;41.186.208/0001-24;12119-899;ESTRADA DO BAIRRO DO TABOAO - SITIO CACHOEIRA, nº S/N, TABOAO - TAUBATE/SP;(12) 36712130;HARAS;0152102;0152102;SP;TAUBATE;02;EDUARDO TAVARES RIBEIRO
CLEITON DUTRA SANT ANA E OUTRO;28.038.752/0001-60;15420-000;SITIO NOSSA SENHORA APARECIDA, nº S/N, BOCAINA - GUARACI/SP;(17) 38151633;HARAS;0152102;0152102;SP;GUARACI;02;CLEITON DUTRA SANT ANA E OUTRO
ACATAMA;39.759.456/0001-75;79150-000;RUA WALTRUDES FERREIRA MUZZI, nº SN, CONJ EGIDIO RIBEIRO - MARACAJU/MS;(67) 99732452;CLUBE;9312300;9312300;MS;MARACAJU;02;ASSOCIACAO DOS CRIADORES DE CAVALO DE TRABALHO DE MARACAJU MS - ACATAMA
PAULO CESAR MIRANDA;22.684.586/0002-74;15860-000;SITIO TUPY, nº S/N, KM 1.5, EST MUN IBIRA/TERMAS DE IBIRA - IBIRA/SP;(11) 81910002;HARAS;0152102;0152102;SP;IBIRA;02;PAULO CESAR MIRANDA
ADRIANO SCHINCARIOL;40.132.931/0001-68;18105-126;RODOVIA PRESIDENTE CASTELO BRANCO, nº S/N, KM 84 FAZENDA QUEBRA GALHO, CAJURU DO SUL - SOROCABA/SP;(11) 27150968;HARAS;0152102;0152102;SP;SOROCABA;02;ADRIANO SCHINCARIOL
JOSEFF SAID BOUTROS;10.350.628/0002-51;16209-899;ESTRADA MUNICIPAL BIRIGUI A CASA DE TABOA, nº S/N, ESTANCIA CEDRO I JRSB, AREA RURAL DE BIRIGUI - BIRIGUI/SP;(18) 97377339;HARAS;0152102;0152102;SP;BIRIGUI;02;JOSEFF SAID BOUTROS
ANDRESSA DE MARI EQUITACAO E HARAS;44.074.090/0001-30;88355-350;RUA EDGAR VON BUETTNER, nº 926, BATEAS - BRUSQUE/SC;(47) 99858118;CENTRO_TREINAMENTO;8591100;8591100;SC;BRUSQUE;02;ANDRESSA DE MARI EQUITACAO E HARAS LTDA
EDNILSON DONIZETE DE ALMEIDA;44.084.518/0001-26;17470-970;SITIO AGUA BRANCA, nº S/N, AGUA BRANCA - DUARTINA/SP;(14) 97611436;HARAS;0152102;0152102;SP;DUARTINA;02;EDNILSON DONIZETE DE ALMEIDA
FABIOLA LIEBERG E OUTROS;44.286.727/0001-52;13306-750;ESTRADA MUNICIPAL DO PINHEIRINHO, nº 6900, PINHEIRINHO - ITU/SP;(11) 92914959;HARAS;0152102;0152102;SP;ITU;02;FABIOLA LIEBERG E OUTROS
RICARDO AMARAL;44.428.864/0001-84;13825-000;SITIO RANCHO NIKITA, nº S/N, FUNDAO - HOLAMBRA/SP;(83) 91830627;HARAS;0152102;0152102;SP;HOLAMBRA;02;RICARDO AMARAL
FMB CONSULTORIA E TREINAMENTO EQUESTRE LTDA;44.797.996/0001-83;04724-003;AVENIDA JOAO DIAS, nº 2192, BLOCO 1 APT 185, SANTO AMARO - SAO PAULO/SP;(11) 75561605;CLUBE_HIPICO;9319199;9319199;SP;SAO PAULO;02;FMB CONSULTORIA E TREINAMENTO EQUESTRE LTDA
SIDNEI FRANCA DA SILVA;44.879.143/0001-90;13578-000;AVENIDA DOUTOR ERNESTO PEREIRA LOPES FILHO, nº 478, DISTRITO AGUA VERMELHA - SAO CARLOS/SP;(16) 97450097;HARAS;0152102;0152102;SP;SAO CARLOS;02;SIDNEI FRANCA DA SILVA
MAURICIO FAGUNDES CASSAS;45.249.046/0001-87;13255-846;RODOVIA ENGENHEIRO CONSTANCIO CINTRA, nº S/N, KM 78, BAIRRO DO PINHAL - ITATIBA/SP;(11) 45249700;HARAS;0152102;0152102;SP;ITATIBA;02;MAURICIO FAGUNDES CASSAS
MARCOS ANTONIO DE JESUS AGUIAR;45.608.990/0001-83;18245-000;SITIO HARAS MAJA, nº SN, SALTO DO PARANAPANEMA - CAMPINA DO MONTE ALEGRE/SP;(15) 68581035;HARAS;0152102;0152102;SP;CAMPINA DO MONTE ALEGRE;02;MARCOS ANTONIO DE JESUS AGUIAR
ORIVALDO DA SILVA PALMA JUNIOR;46.007.468/0001-09;17626-899;RODOVIA COMANDANTE JOAO RIBEIRO DE BARROS, nº KM 7, EST. CINDERELA II, AREA RURAL - TUPA/SP;(14) 34967954;HARAS;0152102;0152102;SP;TUPA;02;ORIVALDO DA SILVA PALMA JUNIOR
EVENTING BR;46.008.432/0001-40;14096-552;RUA KAMEL LIAN, nº 251, APT 31, RIBEIRANIA - RIBEIRAO PRETO/SP;(16) 32363612;CLUBE_HIPICO;9319101;9319101;SP;RIBEIRAO PRETO;02;EVENTINGBR HIPISMO E DIVULGACAO ESPORTIVA LTDA
BOSQUE DA ALVORADA AGROPASTORIL;46.018.059/0001-08;37564-000;ESTRADA BORDA AO SERTAOZINHO, nº S/N, PAIOL DO CAMPO - BORDA DA MATA/MG;(35) 91213218;HARAS;0152102;0152102;MG;BORDA DA MATA;02;BOSQUE DA ALVORADA AGROPASTORIL LTDA
